CP	Nom	Population	Categorie
06710	Villars-sur-Var	671	3
06710	La Tour	501	3
06750	Andon	575	3
06780	Saint-Cézaire-sur-Siagne	3692	3
06790	Aspremont	2195	3
06800	Cagnes-sur-Mer	46632	2
06810	Auribeau-sur-Siagne	3035	3
06830	Gilette	1505	3
06830	Bonson	686	3
06950	Falicon	1907	3
07000	Privas	8352	3
07000	Coux	1708	3
07000	Veyras	1550	3
07000	Saint-Julien-en-Saint-Alban	1359	3
07000	Flaviac	1135	3
07000	Lyas	567	3
07100	Annonay	16445	2
07100	Roiffieux	2776	3
07100	Boulieu-lès-Annonay	2141	3
07100	Saint-Marcel-lès-Annonay	1384	3
07110	Largentière	1822	3
07110	Chassiers	1003	3
07110	Laurac-en-Vivarais	911	3
07110	Montréal	543	3
07120	Ruoms	2256	3
07120	Grospierres	870	3
07130	Saint-Péray	7311	3
07130	Cornas	2246	3
07130	Soyons	1983	3
07130	Toulaud	1674	3
07130	Saint-Romain-de-Lerps	758	3
07140	Les Vans	2831	3
07140	Les Assions	665	3
07140	Chambonas	643	3
07150	Vallon-Pont-d'Arc	2359	3
07150	Lagorce	1042	3
07150	Salavas	579	3
07150	Vagnas	539	3
07150	Orgnac-l'Aven	532	3
07160	Le Cheylard	3157	3
07160	Mariac	644	3
07170	Villeneuve-de-Berg	2836	3
07170	Lavilledieu	1949	3
07170	Lussas	1023	3
07170	Saint-Germain	648	3
07190	Saint-Sauveur-de-Montagut	1129	3
07190	Saint-Pierreville	543	3
07200	Aubenas	11586	2
07200	Saint-Étienne-de-Fontbellon	2506	3
07200	Vesseaux	1694	3
07200	Saint-Privat	1607	3
07200	Saint-Sernin	1606	3
07200	Lachapelle-sous-Aubenas	1484	3
07200	Labégude	1350	3
07200	Vogüé	940	3
07200	Saint-Julien-du-Serre	826	3
07200	Saint-Didier-sous-Aubenas	825	3
07210	Chomérac	2887	3
07210	Alissas	1399	3
07210	Baix	1039	3
07210	Saint-Lager-Bressac	873	3
07210	Saint-Vincent-de-Barrès	816	3
07210	Saint-Symphorien-sous-Chomérac	719	3
07220	Viviers	3895	3
07230	Lablachère	1919	3
07230	Payzac	544	3
07240	Vernoux-en-Vivarais	1873	3
07250	Le Pouzin	2804	3
07250	Rompon	989	3
07260	Joyeuse	1669	3
07260	Rosières	1192	3
07270	Lamastre	2459	3
07270	Colombier-le-Jeune	566	3
07270	Empurany	547	3
07270	Le Crestet	535	3
07290	Satillieu	1618	3
07290	Quintenas	1441	3
07290	Ardoix	1096	3
07290	Saint-Romain-d'Ay	1047	3
07300	Tournon-sur-Rhône	10689	2
07300	Saint-Jean-de-Muzols	2439	3
07300	Mauves	1182	3
07300	Étables	824	3
07300	Saint-Barthélemy-le-Plain	812	3
07300	Plats	801	3
07300	Lemps	777	3
07300	Glun	692	3
07310	Saint-Martin-de-Valamas	1233	3
07320	Saint-Agrève	2546	3
07330	Thueyts	1232	3
07340	Peaugres	1960	3
07340	Andance	1132	3
07340	Serrières	1128	3
07340	Talencieux	1006	3
07340	Saint-Désirat	843	3
07340	Charnas	803	3
07340	Limony	739	3
07350	Cruas	2806	3
07360	Les Ollières-sur-Eyrieux	942	3
07360	Saint-Fortunat-sur-Eyrieux	730	3
07370	Sarras	2072	3
07370	Arras-sur-Rhône	531	3
07380	Lalevade-d'Ardèche	1191	3
07380	Jaujac	1184	3
07380	Prades	1176	3
07380	Meyras	881	3
07380	Pont-de-Labeaume	564	3
07400	Le Teil	8103	3
07400	Rochemaure	2244	3
07400	Meysse	1367	3
07410	Saint-Félicien	1168	3
07410	Saint-Victor	950	3
07410	Colombier-le-Vieux	656	3
07430	Davézieux	2991	3
07430	Vernosc-lès-Annonay	2292	3
07430	Saint-Cyr	1284	3
07430	Saint-Clair	1071	3
07430	Savas	834	3
07440	Alboussière	971	3
07440	Boffres	620	3
07460	Saint-Paul-le-Jeune	904	3
07460	Banne	702	3
07460	Saint-Sauveur-de-Cruzières	522	3
07470	Coucouron	848	3
07500	Guilherand-Granges	11101	2
07560	Montpezat-sous-Bauzon	835	3
07570	Désaignes	1201	3
07580	Saint-Jean-le-Centenier	679	3
07600	Vals-les-Bains	3531	3
07600	Saint-Andéol-de-Vals	539	3
07610	Vion	930	3
07690	Villevocance	1258	3
07690	Vanosc	902	3
07690	Vocance	583	3
07700	Bourg-Saint-Andéol	7233	3
07700	Saint-Marcel-d'Ardèche	2405	3
07700	Saint-Martin-d'Ardèche	921	3
07700	Saint-Remèze	901	3
07700	Gras	587	3
07790	Saint-Alban-d'Ay	1324	3
